start_time_iso=2026-06-03T18:26:58.090
time_sec,Endo_mm,Trans_mm,Epi_mm
449.1,240.177734375,236.81796875,233.73125
449.203,240.28085937499998,237.18984375,233.65
449.301,240.380859375,237.580078125,233.57539062499998
449.401,240.465234375,237.873828125,233.519140625
449.5,240.546484375,238.183203125,233.45976562500002
449.601,240.637109375,238.4890625,233.416015625
449.701,240.725,238.75156249999998,233.394140625
449.803,240.82187499999998,239.0234375,233.394140625
449.901,240.91875,239.2265625,233.406640625
450.001,241.015625,239.460546875,233.425390625
450.1,241.103125,239.641796875,233.434765625
450.2,241.1875,239.835546875,233.441015625
450.3,241.271875,240.01054687500002,233.450390625
450.4,241.353125,240.169921875,233.46601562499998
450.501,241.447265625,240.319921875,233.50351562499998
450.6,241.537890625,240.419921875,233.537890625
450.701,241.63164062500002,240.51640625000002,233.58437500000002
450.801,241.72539062500002,240.60703125,233.640625
450.9,241.812890625,240.67578125,233.6875
451.001,241.903515625,240.73515625,233.74375
451.103,241.994140625,240.78203125,233.803125
451.2,242.072265625,240.82578125,233.85625
451.3,242.14140625,240.86953125,233.903125
451.401,242.20078125,240.90390625,233.946875
451.501,242.25078125,240.93515625,233.984375
451.602,242.29765625,240.97578124999998,234.009375
451.703,242.33828125000002,241.02890625,234.021875
451.801,242.37265625,241.09453125,234.021875
451.9,242.40078125,241.16640625,234.01250000000002
452.002,242.43203125000002,241.24453125,233.996875
452.1,242.46640624999998,241.31640625,233.98749999999998
452.201,242.51015625,241.38828125,233.978125
452.301,242.55703125,241.46640624999998,233.96875
452.403,242.59453125,241.55078125,233.953125
452.501,242.61953125,241.634765625,233.928125
452.6,242.63515625000002,241.73164062499998,233.89375
452.7,242.64140625,241.83476562500002,233.853125
452.8,242.64140625,241.944140625,233.8125
452.901,242.63828125,242.053515625,233.76875
453.001,242.61953125,242.150390625,233.728125
453.1,242.59453125,242.259765625,233.68125
453.2,242.57265625,242.412890625,233.62812499999998
453.301,242.55390625,242.64101562500002,233.566015625
453.401,242.54140625,242.946875,233.487890625
453.5,242.53203125,243.290625,233.406640625
453.6,242.52265624999998,243.6625,233.32851562500002
453.7,242.51953125,243.975,233.269140625
453.801,242.51328124999998,244.325,233.203515625
453.901,242.51328124999998,244.665625,233.150390625
454.0,242.52890625,244.965625,233.112890625
454.101,242.57265625,245.209375,233.097265625
454.201,242.63515625000002,245.4125,233.091015625
454.301,242.71953125000002,245.571875,233.106640625
454.401,242.835546875,245.678125,233.156640625
454.5,242.998046875,245.721875,233.241015625
454.607,243.229296875,245.703125,233.369140625
454.701,243.45703125,245.63125,233.50664062500002
454.801,243.70390625,245.521875,233.690625
454.901,243.92890624999998,245.375,233.909375
455.0,244.134765625,245.18124999999998,234.153125
455.101,244.34414062500002,244.95,234.453125
455.2,244.559375,244.725,234.740625
455.301,244.809375,244.52812500000002,235.068359375
455.401,245.074609375,244.34375,235.42460937500002
455.5,245.35585937500002,244.16875,235.79335937500002
455.601,245.64609374999998,244.01875,236.13398437499998
455.701,245.93671875,243.90625,236.41796875
455.801,246.233203125,243.828125,236.66171875
455.901,246.533203125,243.77812500000002,236.87421875
456.001,246.81718750000002,243.75625,237.04921875000002
456.101,247.0859375,243.75625,237.19296875
456.201,247.348046875,243.790625,237.302734375
456.301,247.594921875,243.853125,237.380859375
456.4,247.79453125,243.925,237.42148437499998
456.501,247.92265625000002,244.0,237.42460937500002
456.601,247.97890625,244.10000000000002,237.365234375
456.701,247.99140624999998,244.20625,237.277734375
456.8,247.99140624999998,244.290625,237.20234374999998
456.901,248.00390625,244.334375,237.17109375
457.002,248.01015625,244.34687499999998,237.16484375
457.1,248.01015625,244.34062500000002,237.17109375
457.201,248.00390625,244.325,237.17734374999998
457.302,247.99765625,244.31875,237.17734374999998
457.4,247.99140624999998,244.315625,237.17421875
457.5,247.98203125,244.30625,237.16484375
457.601,247.96328125,244.290625,237.14921875
457.701,247.93828125000002,244.26875,237.13046874999998
457.801,247.90703125,244.240625,237.10546875
457.901,247.86953125,244.209375,237.07421875
458.0,247.82578124999998,244.16875,237.03671874999998
458.101,247.77578125,244.128125,236.99921874999998
458.2,247.72265625,244.078125,236.95546875000002
458.301,247.66367187499998,244.021875,236.90859375
458.401,247.598046875,243.9625,236.85546875
458.501,247.52617187500002,243.89687500000002,236.79921875000002
458.6,247.444921875,243.828125,236.73984375
458.701,247.360546875,243.75312499999998,236.67421875
