Format Version,1.23,Take Name,heart_sim_output,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,3/17/2026 16:00,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global,
,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,ID,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
66,6.6,0.096673,-0.070406,0.064122,-0.052109,-0.080556,0.05767,0.022282,-0.075481,0.060896,-0.003284,-0.163335,0.143021,0.024598,-0.156753,0.148437,-0.000263,-0.166486,0.09778,0.02673,-0.167074,0.096928
67,6.7,0.096809,-0.071348,0.064001,-0.052183,-0.080806,0.057595,0.022313,-0.076077,0.060798,-0.002753,-0.162584,0.143946,0.024587,-0.156744,0.148441,-0.000163,-0.165461,0.097853,0.026287,-0.166848,0.096429
68,6.8,0.096694,-0.070807,0.06404,-0.051996,-0.080325,0.057696,0.022349,-0.075566,0.060868,-0.003237,-0.16249,0.144006,0.025046,-0.156961,0.148428,-0.000279,-0.16655,0.097763,0.026746,-0.167073,0.096417
69,6.9,0.09685,-0.071417,0.063997,-0.052147,-0.08095,0.057579,0.022352,-0.076184,0.060788,-0.002782,-0.162707,0.144444,0.025095,-0.156795,0.148009,-0.000246,-0.166458,0.097811,0.026812,-0.166906,0.09598
70,7,0.096842,-0.071687,0.063897,-0.052281,-0.081199,0.057542,0.022281,-0.076443,0.06072,-0.00281,-0.162695,0.144409,0.026471,-0.15819,0.147066,-0.000251,-0.166428,0.097258,0.027184,-0.16724,0.09691
71,7.1,0.096793,-0.071128,0.063948,-0.052124,-0.080773,0.057611,0.022335,-0.075951,0.060779,-0.003372,-0.16345,0.144006,0.027044,-0.158273,0.146585,-0.00017,-0.166444,0.097243,0.026822,-0.167031,0.09639
72,7.2,0.096755,-0.071003,0.064008,-0.052175,-0.080803,0.05762,0.02229,-0.075903,0.060814,-0.002717,-0.161563,0.143989,0.027427,-0.159347,0.146197,0.000352,-0.165534,0.097371,0.026762,-0.166995,0.096436
73,7.3,0.096753,-0.071229,0.063981,-0.052217,-0.080987,0.057563,0.022268,-0.076108,0.060772,-0.003215,-0.162544,0.144439,0.027859,-0.160482,0.145795,0.000473,-0.164479,0.096978,0.027672,-0.167381,0.096983
74,7.4,0.096797,-0.071505,0.063937,-0.052195,-0.080905,0.057568,0.022301,-0.076205,0.060752,-0.00396,-0.164387,0.14452,0.028332,-0.1596,0.145712,0.000453,-0.16448,0.096909,0.027208,-0.16717,0.096415
75,7.5,0.09677,-0.071145,0.063979,-0.052151,-0.08079,0.057627,0.02231,-0.075967,0.060803,-0.004535,-0.165323,0.144506,0.028855,-0.160618,0.144844,0.000378,-0.165469,0.096886,0.027264,-0.167076,0.095968
76,7.6,0.096754,-0.071202,0.063953,-0.052137,-0.080616,0.057661,0.022309,-0.075909,0.060807,-0.004582,-0.165454,0.144957,0.029785,-0.160901,0.144358,0.00035,-0.16553,0.096858,0.02676,-0.166997,0.095928
